Asteroid Number,Asteroid,N-sig,Ref.   ,YYYY-mmm-DD,MMD(AU),Vrel(km/s)
4660,Nereus             ,23000,JPL#09  ,2/14/2060,0.008,6.33
4450,Pan                ,81000,JPL#03  ,2/17/2060,0.0369,19.16
5604,1992 FE            ,60000,JPL#06  ,2/28/2060,0.1169,15.56
2201,Oljato             ,390000,JPL#17  ,5/23/2060,0.1922,14.89
,1999 RQ36          ,140000,JPL#31  ,9/23/2060,0.0043,6.18
3200,Phaethon           ,110000,JPL#13  ,12/18/2060,0.1111,30.65
2102,Tantalus           ,240000,JPL#16  ,12/23/2060,0.0991,34.28
4769,Castalia           ,390000,JPL#19  ,04-01-2061,0.1446,12.73
2101,Adonis             ,280000,JPL#12  ,07-01-2061,0.1242,28.39
7753,1988 XB            ,200000,JPL#06  ,07-03-2061,0.0633,11.72
2135,Aristaeus          ,5100,JPL#03  ,3/26/2062,0.0847,15.96
1566,Icarus             ,1200000,JPL#29  ,6/18/2062,0.0834,31.27
5604,1992 FE            ,89000,JPL#06  ,6/22/2062,0.0566,11.55
2340,Hathor             ,100000,JPL#10  ,10/25/2062,0.181,18.89
11500,1989 UR            ,320000,JPL#18  ,11/21/2062,0.1433,15.66
1981,Midas              ,170000,JPL#15  ,3/14/2063,0.0825,30.15
6037,1988 EG            ,2700000,JPL#21  ,2/22/2064,0.106,11.81
2135,Aristaeus          ,11000,JPL#03  ,04-02-2064,0.0543,18.76
,1990 OS            ,20000,JPL#07  ,7/26/2064,0.1683,15.41
3362,Khufu              ,620000,JPL#06  ,12/28/2064,0.1537,13.57
1620,Geographos         ,2200000,JPL#65  ,3/13/2065,0.0966,12.95
4183,Cuno               ,400000,JPL#11  ,5/20/2065,0.128,14.08
5693,1993 EA            ,400000,JPL#09  ,06-03-2065,0.0882,16.54
7822,1991 CS            ,380000,JPL#08  ,8/31/2065,0.025,19.36
9856,1991 EE            ,350000,JPL#20  ,09-06-2065,0.0304,16.34
3362,Khufu              ,580000,JPL#06  ,12/24/2065,0.1527,16.38
7822,1991 CS            ,3000000,JPL#08  ,2/23/2066,0.1881,18.47
,1996 JG            ,290000,JPL#11  ,11-08-2066,0.1956,14.47
6239,Minos              ,300000,JPL#08  ,1/22/2068,0.1966,18.68
,1999 RQ36          ,910000,JPL#31  ,2/15/2068,0.0745,4.92
,1997 BR            ,250000,JPL#05  ,7/24/2068,0.0494,12.45
7753,1988 XB            ,230000,JPL#06  ,11/14/2068,0.1262,9.99
7482,1994 PC1           ,55000,JPL#14  ,1/14/2069,0.0695,20.52
5604,1992 FE            ,86000,JPL#06  ,2/25/2069,0.1054,9.14
6489,Golevka            ,3300000,JPL#54  ,7/19/2069,0.1012,10.61
6239,Minos              ,160000,JPL#08  ,8/13/2069,0.0688,10.97
2340,Hathor             ,91000,JPL#10  ,10/21/2069,0.0066,13.2
4179,Toutatis           ,1400000,JPL#69  ,11-05-2069,0.0198,8.41
3757,1982 XB            ,240000,JPL#06  ,01-12-2070,0.0867,7.03
4034,1986 PA            ,180000,JPL#07  ,09-07-2070,0.1893,9.75
8566,1996 EN            ,140000,JPL#06  ,09-08-2070,0.0251,23.26
4660,Nereus             ,20000,JPL#09  ,02-04-2071,0.0141,5.64
1566,Icarus             ,1200000,JPL#29  ,06-10-2071,0.1794,24.45
1862,Apollo             ,420000,JPL#35  ,11/17/2071,0.1066,20.34
3671,Dionysus           ,250000,JPL#15  ,5/29/2072,0.147,14.5
4581,Asclepius          ,57000,JPL#04  ,8/20/2072,0.0473,11.5
2201,Oljato             ,56000,JPL#17  ,12/17/2072,0.0849,22.79
1862,Apollo             ,540000,JPL#35  ,5/20/2073,0.1319,13.58
5011,Ptah               ,120000,JPL#08  ,11/13/2073,0.0914,12.97
2340,Hathor             ,380000,JPL#10  ,1/15/2074,0.1264,10.89
11500,1989 UR            ,310000,JPL#18  ,6/17/2074,0.1313,14.34
3757,1982 XB            ,650000,JPL#06  ,12/18/2074,0.0379,5.73
5011,Ptah               ,32000,JPL#08  ,3/14/2076,0.0679,10.81
2201,Oljato             ,59000,JPL#17  ,5/28/2076,0.1538,15.85
1620,Geographos         ,6600000,JPL#65  ,8/20/2076,0.0784,10.22
,1991 AQ            ,280000,JPL#04  ,02-05-2077,0.1897,19.11
2101,Adonis             ,150000,JPL#12  ,2/16/2077,0.176,30.12
7753,1988 XB            ,200000,JPL#06  ,07-03-2077,0.068,11.58
5189,1990 UQ            ,100000,JPL#04  ,9/21/2077,0.0511,12.07
,1990 OS            ,21000,JPL#07  ,10/31/2077,0.0555,8.28
4581,Asclepius          ,290,JPL#04  ,3/21/2078,0.1096,7.18
6239,Minos              ,190000,JPL#08  ,1/27/2079,0.0792,14.96
4581,Asclepius          ,20000,JPL#04  ,3/28/2079,0.0832,13.94
5604,1992 FE            ,110000,JPL#06  ,6/13/2079,0.1884,8.04
6037,1988 EG            ,770000,JPL#21  ,8/22/2079,0.0342,14.82
3908,Nyx                ,1300000,JPL#11  ,9/19/2079,0.1631,9.5
3757,1982 XB            ,160000,JPL#06  ,11/27/2079,0.1118,8.55
2102,Tantalus           ,230000,JPL#16  ,01-02-2080,0.1799,32.62
6239,Minos              ,110000,JPL#08  ,8/18/2080,0.0544,14.28
,1991 AQ            ,20000,JPL#04  ,8/25/2080,0.1968,30.61
4769,Castalia           ,910000,JPL#19  ,8/27/2080,0.0618,13.48
8014,1990 MF            ,97000,JPL#11  ,09-12-2080,0.0393,7.84
1862,Apollo             ,480000,JPL#35  ,11-05-2080,0.0979,14.57
4953,1990 MU            ,280000,JPL#14  ,11/19/2080,0.1885,27.91
5189,1990 UQ            ,180000,JPL#04  ,05-03-2081,0.0986,14.96
7335,1989 JA            ,180000,JPL#10  ,5/20/2081,0.0848,15.36
4660,Nereus             ,23000,JPL#09  ,11/27/2081,0.0923,10.32
1862,Apollo             ,460000,JPL#35  ,05-12-2082,0.0333,17.51
4015,Wilson-Harrington  ,110000,JPL#19  ,8/18/2082,0.1078,11.93
4034,1986 PA            ,130000,JPL#07  ,09-08-2082,0.1643,10.2
5693,1993 EA            ,60000,JPL#09  ,12/27/2082,0.1193,15.29
3361,Orpheus            ,160000,JPL#04  ,4/26/2083,0.1193,12.14
11500,1989 UR            ,260000,JPL#18  ,06-08-2083,0.0903,10.97
4769,Castalia           ,370000,JPL#19  ,4/13/2084,0.1975,19.53
4450,Pan                ,140000,JPL#03  ,09-11-2084,0.1903,23.93
7753,1988 XB            ,88000,JPL#06  ,11/16/2084,0.1159,10.19
3671,Dionysus           ,410000,JPL#15  ,6/18/2085,0.028,11.04
4486,Mithra             ,78000,JPL#07  ,8/24/2085,0.1328,21.15
4450,Pan                ,89000,JPL#03  ,2/23/2086,0.1011,15.61
5604,1992 FE            ,63000,JPL#06  ,2/26/2086,0.0747,14.22
2340,Hathor             ,87000,JPL#10  ,10/21/2086,0.0056,13.24
6037,1988 EG            ,1600000,JPL#21  ,2/17/2087,0.1571,10.26
3361,Orpheus            ,160000,JPL#04  ,4/21/2087,0.0515,10.09
3908,Nyx                ,1000000,JPL#11  ,10-08-2087,0.0692,5.91
5693,1993 EA            ,320000,JPL#09  ,06-09-2088,0.1909,13.43
5604,1992 FE            ,89000,JPL#06  ,6/21/2088,0.0562,12.51
1981,Midas              ,80000,JPL#15  ,3/20/2089,0.0723,26.85
4953,1990 MU            ,67000,JPL#14  ,5/30/2089,0.1232,20.29
6239,Minos              ,190000,JPL#08  ,02-04-2090,0.0836,10.61
1620,Geographos         ,2400000,JPL#65  ,03-11-2090,0.1508,15.01
1566,Icarus             ,1100000,JPL#29  ,6/14/2090,0.0435,28.17
7822,1991 CS            ,380000,JPL#08  ,09-01-2090,0.0391,19.23
2340,Hathor             ,400000,JPL#10  ,1/17/2091,0.1077,11.85
7822,1991 CS            ,2900000,JPL#08  ,2/23/2091,0.1802,18.52
3361,Orpheus            ,190000,JPL#04  ,4/18/2091,0.0211,9.09
1862,Apollo             ,430000,JPL#35  ,05-06-2091,0.1353,21.15
4450,Pan                ,210000,JPL#03  ,8/21/2091,0.1799,13.52
4769,Castalia           ,540000,JPL#19  ,8/23/2091,0.0893,17.57
11500,1989 UR            ,270000,JPL#18  ,5/23/2092,0.1659,8.86
6489,Golevka            ,3700000,JPL#54  ,6/19/2092,0.1108,10.66
4183,Cuno               ,120000,JPL#11  ,01-08-2093,0.0843,14.87
7753,1988 XB            ,200000,JPL#06  ,07-04-2093,0.0764,11.33
2061,Anza               ,73000,JPL#01  ,8/27/2093,0.1791,10.55
3200,Phaethon           ,81000,JPL#13  ,12/14/2093,0.0198,34.23
1620,Geographos         ,1900000,JPL#65  ,09-03-2094,0.19,16.69
4034,1986 PA            ,140000,JPL#07  ,09-08-2094,0.1717,10.07
2101,Adonis             ,280000,JPL#12  ,02-01-2095,0.1536,20.17
5604,1992 FE            ,85000,JPL#06  ,2/25/2095,0.1006,9.24
4769,Castalia           ,360000,JPL#19  ,04-06-2095,0.1223,15.04
3361,Orpheus            ,170000,JPL#04  ,4/21/2095,0.053,10.13
3908,Nyx                ,4000000,JPL#11  ,10/28/2095,0.0587,5.56
2340,Hathor             ,79000,JPL#10  ,10/25/2096,0.1375,18.65
5011,Ptah               ,99000,JPL#08  ,11-09-2096,0.1159,14.59
5604,1992 FE            ,74000,JPL#06  ,6/15/2097,0.1841,17.6
5011,Ptah               ,100000,JPL#08  ,03-04-2099,0.1219,9.63
3361,Orpheus            ,180000,JPL#04  ,4/26/2099,0.1207,12.18
,1997 BR            ,770000,JPL#05  ,6/25/2099,0.1912,10.24
4581,Asclepius          ,59000,JPL#04  ,8/23/2099,0.0453,10.28
11500,1989 UR            ,430000,JPL#18,11/29/2099,0.1044,9.26
