Asteroid Number,Asteroid,N-sig,Ref.   ,YYYY-mmm-DD,MMD(AU),Vrel(km/s)
1620,Geographos         ,2900000,JPL#65  ,3/17/2008,0.1251,9.74
,1999 SO5           ,500,JPL#14  ,04-09-2008,0.0656,7.36
,1991 DG            ,320000,JPL#05  ,08-02-2008,0.1753,10.99
,1991 VH            ,130000,JPL#02  ,8/15/2008,0.0458,7.84
,1998 VO            ,62000,JPL#14  ,10/29/2008,0.0743,10.35
4179,Toutatis           ,1300000,JPL#69  ,11-09-2008,0.0502,9.21
,1993 KH            ,19000,JPL#03  ,11/22/2008,0.0994,13.43
,1998 UT18          ,370000,JPL#37  ,11/25/2008,0.1045,11.95
,1998 CS1           ,46000,JPL#06  ,1/17/2009,0.0241,18.51
,1999 AQ10          ,10000,JPL#30  ,2/18/2009,0.0103,8.28
,1978 CA            ,110000,JPL#09  ,03-07-2009,0.1225,13.71
,1998 OR2           ,1500,JPL#12  ,3/19/2009,0.0557,10.08
,1998 SC15          ,87000,JPL#17  ,3/23/2009,0.1977,10.15
,1996 FG3           ,880000,JPL#05  ,05-06-2009,0.1561,6.58
,1991 JW            ,220000,JPL#07  ,5/23/2009,0.0812,5.08
,1994 CC            ,2400,JPL#02  ,06-10-2009,0.0166,8.38
,1999 DJ4           ,240000,JPL#27  ,06-12-2009,0.1782,12.18
,1999 MN            ,77000,JPL#14  ,07-12-2009,0.0173,17.31
8566,1996 EN            ,200000,JPL#06  ,8/28/2009,0.1942,21.2
,1998 VF32          ,41000,JPL#12  ,11/22/2009,0.0436,15.13
3361,Orpheus            ,750000,JPL#04  ,12/25/2009,0.1383,6.51
4486,Mithra             ,110000,JPL#07  ,03-12-2010,0.1889,22.64
,1999 MN            ,11000,JPL#14  ,06-03-2010,0.0053,15.32
,1999 JD6           ,42000,JPL#42  ,7/27/2010,0.1385,16.86
6239,Minos              ,140000,JPL#08  ,08-10-2010,0.0985,10.17
,1989 UQ            ,210000,JPL#03  ,10/21/2010,0.1533,6.01
,1991 JW            ,86000,JPL#07  ,11/28/2010,0.0951,7.82
,1998 HE3           ,1800,JPL#04  ,02-03-2011,0.0967,15.18
,1998 FH12          ,1100,JPL#01  ,6/23/2011,0.1269,20.91
,1999 RQ36          ,790000,JPL#31  ,09-11-2011,0.1766,10.77
,1998 SC15          ,170000,JPL#17  ,10/18/2011,0.1202,16.79
,1996 FG3           ,620000,JPL#05  ,11/23/2011,0.1014,8.13
,1994 XL1           ,90000,JPL#03  ,11/29/2011,0.0777,16.31
,1999 RD32          ,14000,JPL#38  ,3/13/2012,0.0814,19.35
,1999 GS6           ,30000,JPL#07  ,3/25/2012,0.0982,11.62
,1996 SK            ,27000,JPL#02  ,4/18/2012,0.1629,19.21
,1998 HE3           ,5300,JPL#04  ,05-10-2012,0.0286,11.88
4183,Cuno               ,400000,JPL#11  ,5/20/2012,0.1218,14.4
,1999 BJ8           ,450000,JPL#22  ,6/16/2012,0.1736,14.87
,1994 PM            ,180000,JPL#03  ,08-12-2012,0.095,28.73
4581,Asclepius          ,24000,JPL#04  ,8/16/2012,0.1078,13.48
4769,Castalia           ,940000,JPL#19  ,8/28/2012,0.1135,12.05
,1998 QC1           ,130000,JPL#27  ,9/15/2012,0.1569,16.96
4179,Toutatis           ,760000,JPL#69  ,12-12-2012,0.0463,11.91
,1998 WT24          ,17000,JPL#11  ,12/23/2012,0.1633,14.96
4034,1986 PA            ,300000,JPL#07  ,04-01-2013,0.1528,12.14
7753,1988 XB            ,250000,JPL#06  ,07-10-2013,0.1183,10.2
6037,1988 EG            ,1100000,JPL#21  ,08-12-2013,0.1847,20.2
,1999 CF9           ,100000,JPL#41  ,8/22/2013,0.0573,18.88
,1998 ML14          ,730000,JPL#53  ,8/24/2013,0.0561,10.36
4581,Asclepius          ,78000,JPL#04  ,8/25/2013,0.1188,7.58
,1998 UT18          ,310000,JPL#37  ,11/21/2013,0.1715,13.62
,1996 RG3           ,160000,JPL#02  ,11/26/2013,0.1552,11.22
3361,Orpheus            ,490000,JPL#04  ,12-07-2013,0.1032,6.06
,1999 JV6           ,34000,JPL#17  ,1/13/2014,0.1293,6.46
,1995 SA            ,780,JPL#04  ,04-03-2014,0.1822,14.18
2340,Hathor             ,120000,JPL#10  ,10/21/2014,0.0482,11.91
,1998 SS49          ,250000,JPL#26  ,11/18/2014,0.1863,23.09
,1999 JV6           ,35000,JPL#17  ,01-05-2015,0.0624,7.56
,1998 HD14          ,29000,JPL#05  ,4/14/2015,0.1848,14.87
,1999 FN53          ,2400000,JPL#36  ,5/14/2015,0.0676,13.73
1566,Icarus             ,1100000,JPL#29  ,6/16/2015,0.0538,30.22
,1994 AW1           ,44000,JPL#06  ,7/15/2015,0.0647,12.45
,1999 JD6           ,38000,JPL#42  ,7/25/2015,0.0483,20.32
7822,1991 CS            ,360000,JPL#08  ,09-04-2015,0.1596,18.95
,1998 WT24          ,5900,JPL#11  ,12-12-2015,0.0186,8.54
,1999 JV6           ,29000,JPL#17  ,01-05-2016,0.0314,9.48
7822,1991 CS            ,2700000,JPL#08  ,2/23/2016,0.1683,19.12
,1998 HD14          ,43000,JPL#05  ,04-09-2016,0.1543,6.14
,1997 XF11          ,93000,JPL#21  ,06-10-2016,0.1797,9.77
,1998 HL3           ,5000,JPL#04  ,07-07-2016,0.1797,7.25
,1999 SO5           ,4900,JPL#14  ,10/14/2016,0.1604,7.24
,1999 AQ10          ,17000,JPL#30  ,10/18/2016,0.1305,10.92
,1997 XR2           ,90000,JPL#02  ,11/18/2016,0.0418,5.96
,1994 XL1           ,140000,JPL#03  ,12-10-2016,0.0525,16.7
2102,Tantalus           ,310000,JPL#16  ,12/30/2016,0.1375,32.76
,1999 JV6           ,25000,JPL#17  ,01-07-2017,0.0377,11.5
5604,1992 FE            ,66000,JPL#06  ,2/24/2017,0.0336,11.95
,1999 KW4           ,110000,JPL#42  ,5/31/2017,0.1666,19.68
,1998 VO            ,14000,JPL#14  ,06-12-2017,0.1834,6.78
5189,1990 UQ            ,94000,JPL#04  ,9/26/2017,0.061,13.97
,1989 UQ            ,220000,JPL#03  ,10/16/2017,0.1563,6.08
